"","Country","No_of_suspected_cases","No..of.probable.cases","No..of.confirmed.cases","No..of.confirmed..probable.and.suspected.cases","No..of.suspected.deaths","No..of.probable.deaths","No..of.confirmed.deaths","No..of.confirmed..probable.and.suspected.deaths"
"1","Guinea",4293,100201,749622,854118,4293,99799,461211,563069
"2","Italy",0,0,141,141,0,0,0,0
"3","Liberia",1212033,474103,768738,2459122,1212033,8676,26937,1099833
"4","Mali",1,239,1658,1865,1,5,21,1427
"5","Nigeria",10,255,4840,5105,10,255,1784,2039
"6","Senegal",4,0,254,258,4,0,0,0
"7","Sierra Leone",893756,67657,2041871,3003428,893756,50786,797984,888834
"8","Spain",0,0,243,243,0,0,0,0
"9","United Kingdom",0,0,221,215,0,0,0,0
"10","United States of America",0,0,967,967,0,0,242,242
