"","Category","nb_app","percent_free_app","sum_download_unit1000","percent_free_download","avg_download_per_app","avg_rating","sum_reviews","avg_size"
"1","GAME",1097,92.98,35085862.72,99.94,31983,4.29,3188165,40.12
"2","COMMUNICATION",328,93.29,32647241.53,100,99534,4.16,967922,38.97
"3","PRODUCTIVITY",351,94.87,14176070.18,99.99,40388,4.21,1032028,25.88
"4","SOCIAL",259,99.23,14069841.47,100,54324,4.26,834323,16.15
"5","TOOLS",734,91.42,11450724.5,99.98,15600,4.05,2243462,38.53
"6","FAMILY",1747,90.73,10257701.59,99.7,5872,4.19,5075080,33.87
"7","PHOTOGRAPHY",317,94.32,10088243.13,99.96,31824,4.19,912595,13.8
"8","NEWS_AND_MAGAZINES",233,99.14,7496210.65,100,32173,4.13,703786,10.23
"9","TRAVEL_AND_LOCAL",226,96.46,6868859.3,100,30393,4.11,671593,17.79
"10","VIDEO_PLAYERS",160,97.5,6221897.2,100,38887,4.06,487121,14.08
"11","SHOPPING",238,99.16,3247831.54,100,13646,4.26,732665,25.01
"12","ENTERTAINMENT",149,98.66,2869160,99.99,19256,4.13,467448,13.2
"13","PERSONALIZATION",314,78.66,2325352.93,99.77,7406,4.34,980491,43.92
"14","BOOKS_AND_REFERENCE",178,95.51,1921291.66,100,10794,4.35,558727,18.38
"15","SPORTS",319,93.1,1751131.47,99.93,5489,4.22,972989,22.8
"16","HEALTH_AND_FITNESS",297,95.96,1583056.22,99.96,5330,4.28,830520,22.06
"17","BUSINESS",303,96.37,1001768.12,99.96,3306,4.12,902984,21.16
"18","FINANCE",323,95.98,876612.4,99.98,2714,4.13,944943,25.22
"19","EDUCATION",155,97.42,871352,99.93,5622,4.39,474705,21.71
"20","MAPS_AND_NAVIGATION",124,95.97,724267.56,99.98,5841,4.05,380108,20.05
"21","LIFESTYLE",314,94.27,537561.12,99.78,1712,4.09,944307,23.39
"22","WEATHER",75,90.67,426096.5,99.81,5681,4.24,193755,16.28
"23","FOOD_AND_DRINK",109,98.17,273777.75,99.98,2512,4.17,305704,18.37
"24","DATING",195,97.95,264295.11,99.99,1355,3.97,567787,16.07
"25","HOUSE_AND_HOME",76,100,168582,100,2218,4.2,229273,12.9
"26","ART_AND_DESIGN",62,95.16,124233.1,99.99,2004,4.36,164170,12.15
"27","LIBRARIES_AND_DEMO",65,100,62083,100,955,4.18,205921,211.57
"28","COMICS",58,100,56036.1,100,966,4.16,160884,29.19
"29","MEDICAL",350,74.86,53205.58,98.09,152,4.19,1009008,45.39
"30","AUTO_AND_VEHICLES",73,98.63,53129.8,99.91,728,4.19,208999,20.57
"31","PARENTING",50,96,31116.11,99.84,622,4.3,159657,18.87
"32","BEAUTY",42,100,26916.2,100,641,4.28,129238,13.67
"33","EVENTS",45,100,15949.41,100,354,4.44,149819,19.49
